candidate_name,party,votes,election,office,file
Quanda S. Francis,Empowerment,52,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv
Raja Michael Flores,Humanity United,52,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv
Skiboky Stora,Out Lawbreaker,4,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv
Stacey H. Prussman,Libertarian,41,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv
William A. Pepitone,Conservative,105,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv
Anthony L. Herbert,Conservative,553,General Election 2021 - 11/02/2021,Public Advocate,00400300000Queens Public Advocate Citywide EDLevel_AD34.csv
Anthony L. Herbert,Independent,97,General Election 2021 - 11/02/2021,Public Advocate,00400300000Queens Public Advocate Citywide EDLevel_AD34.csv
Devin W. Balkind,Libertarian,168,General Election 2021 - 11/02/2021,Public Advocate,00400300000Queens Public Advocate Citywide EDLevel_AD34.csv
Dr. Devi Elizabeth Nampiaparampil,Republican,2525,General Election 2021 - 11/02/2021,Public Advocate,00400300000Queens Public Advocate Citywide EDLevel_AD34.csv
Dr. Devi Elizabeth Nampiaparampil,Save Our City,67,General Election 2021 - 11/02/2021,Public Advocate,00400300000Queens Public Advocate Citywide EDLevel_AD34.csv
Jumaane D. Williams,Democratic,7460,General Election 2021 - 11/02/2021,Public Advocate,00400300000Queens Public Advocate Citywide EDLevel_AD34.csv
Brad Lander,Democratic,7519,General Election 2021 - 11/02/2021,City Comptroller,00400400000Queens City Comptroller Citywide EDLevel_AD34.csv
Daby Benjamine Carreras,Republican,2327,General Election 2021 - 11/02/2021,City Comptroller,00400400000Queens City Comptroller Citywide EDLevel_AD34.csv
Daby Benjamine Carreras,Save Our City,77,General Election 2021 - 11/02/2021,City Comptroller,00400400000Queens City Comptroller Citywide EDLevel_AD34.csv
John A. Tabacco Jr.,Libertarian/Independent,135,General Election 2021 - 11/02/2021,City Comptroller,00400400000Queens City Comptroller Citywide EDLevel_AD34.csv
Paul A. Rodriguez,Conservative,761,General Election 2021 - 11/02/2021,City Comptroller,00400400000Queens City Comptroller Citywide EDLevel_AD34.csv
Paul Rodriguez,Conservative,483,General Election - 11/08/2022,State Comptroller,00400500000Queens State Comptroller Citywide EDLevel_AD34.csv
Paul Rodriguez,Republican,6577,General Election - 11/08/2022,State Comptroller,00400500000Queens State Comptroller Citywide EDLevel_AD34.csv
Thomas P. DiNapoli,Democratic,12261,General Election - 11/08/2022,State Comptroller,00400500000Queens State Comptroller Citywide EDLevel_AD34.csv
Thomas P. DiNapoli,Working Families,2525,General Election - 11/08/2022,State Comptroller,00400500000Queens State Comptroller Citywide EDLevel_AD34.csv
Donovan J. Richards Jr.,Democratic,7947,General Election 2021 - 11/02/2021,Borough President,00400500013Queens Borough President Queens EDLevel_AD34.csv
Thomas J. Zmich,Conservative,326,General Election 2021 - 11/02/2021,Borough President,00400500013Queens Borough President Queens EDLevel_AD34.csv
Thomas J. Zmich,Republican/Save Our City,2465,General Election 2021 - 11/02/2021,Borough President,00400500013Queens Borough President Queens EDLevel_AD34.csv
Letitia A. James,Democratic,12202,General Election - 11/08/2022,Attorney General,00400600000Queens Attorney General Citywide EDLevel_AD34.csv
Letitia A. James,Working Families,2510,General Election - 11/08/2022,Attorney General,00400600000Queens Attorney General Citywide EDLevel_AD34.csv
Michael Henry,Conservative,488,General Election - 11/08/2022,Attorney General,00400600000Queens Attorney General Citywide EDLevel_AD34.csv
Michael Henry,Republican,6708,General Election - 11/08/2022,Attorney General,00400600000Queens Attorney General Citywide EDLevel_AD34.csv
Charles E. Schumer,Democratic,12984,General Election - 11/08/2022,United States Senator,00400700000Queens United States Senator Citywide EDLevel_AD34.csv
Charles E. Schumer,Working Families,2420,General Election - 11/08/2022,United States Senator,00400700000Queens United States Senator Citywide EDLevel_AD34.csv
Diane Sare,LaRouche,175,General Election - 11/08/2022,United States Senator,00400700000Queens United States Senator Citywide EDLevel_AD34.csv
Joe Pinion,Conservative,410,General Election - 11/08/2022,United States Senator,00400700000Queens United States Senator Citywide EDLevel_AD34.csv
Joe Pinion,Republican,6146,General Election - 11/08/2022,United States Senator,00400700000Queens United States Senator Citywide EDLevel_AD34.csv
Edwin DeJesus,Green,32,General Election 2021 - 11/02/2021,Member of the City Council,00400700022Queens Member of the City Council 22nd Council District EDLevel_AD34.csv
Felicia R. Kalan,Conservative/Save Our City,43,General Election 2021 - 11/02/2021,Member of the City Council,00400700022Queens Member of the City Council 22nd Council District EDLevel_AD34.csv
Felicia R. Kalan,Republican,362,General Election 2021 - 11/02/2021,Member of the City Council,00400700022Queens Member of the City Council 22nd Council District EDLevel_AD34.csv
Tiffany Caban,Democratic,547,General Election 2021 - 11/02/2021,Member of the City Council,00400700022Queens Member of the City Council 22nd Council District EDLevel_AD34.csv
Julie Won,Democratic,1137,General Election 2021 - 11/02/2021,Member of the City Council,00400700026Queens Member of the City Council 26th Council District EDLevel_AD34.csv
Marvin R. Jeffcoat,Conservative,40,General Election 2021 - 11/02/2021,Member of the City Council,00400700026Queens Member of the City Council 26th Council District EDLevel_AD34.csv
Marvin R. Jeffcoat,Republican,360,General Election 2021 - 11/02/2021,Member of the City Council,00400700026Queens Member of the City Council 26th Council District EDLevel_AD34.csv
Robert F. Holden,Conservative/Save Our City,6,General Election 2021 - 11/02/2021,Member of the City Council,00400700030Queens Member of the City Council 30th Council District EDLevel_AD34.csv
Robert F. Holden,Democratic,48,General Election 2021 - 11/02/2021,Member of the City Council,00400700030Queens Member of the City Council 30th Council District EDLevel_AD34.csv
Robert F. Holden,Republican,27,General Election 2021 - 11/02/2021,Member of the City Council,00400700030Queens Member of the City Council 30th Council District EDLevel_AD34.csv
Diane Sare,LaRouche,324,General Election 2024 - 11/05/2024,United States Senator,00400800000Queens United States Senator Citywide EDLevel_AD34.csv
Kirsten E. Gillibrand,Democratic,20305,General Election 2024 - 11/05/2024,United States Senator,00400800000Queens United States Senator Citywide EDLevel_AD34.csv
Kirsten E. Gillibrand,Working Families,3275,General Election 2024 - 11/05/2024,United States Senator,00400800000Queens United States Senator Citywide EDLevel_AD34.csv
Michael D. Sapraicone,Conservative,777,General Election 2024 - 11/05/2024,United States Senator,00400800000Queens United States Senator Citywide EDLevel_AD34.csv
Michael D. Sapraicone,Republican,11618,General Election 2024 - 11/05/2024,United States Senator,00400800000Queens United States Senator Citywide EDLevel_AD34.csv
Grace Meng,Democratic,1941,General Election - 11/08/2022,Representative in Congress,00401800006Queens Representative in Congress 6th Congressional District EDLevel_AD34.csv
Thomas J. Zmich,Conservative,62,General Election - 11/08/2022,Representative in Congress,00401800006Queens Representative in Congress 6th Congressional District EDLevel_AD34.csv
Thomas J. Zmich,Medical Freedom,14,General Election - 11/08/2022,Representative in Congress,00401800006Queens Representative in Congress 6th Congressional District EDLevel_AD34.csv
Thomas J. Zmich,Republican,824,General Election - 11/08/2022,Representative in Congress,00401800006Queens Representative in Congress 6th Congressional District EDLevel_AD34.csv
Juan Pagan,Conservative,18,General Election - 11/08/2022,Representative in Congress,00401800007Queens Representative in Congress 7th Congressional District EDLevel_AD34.csv
Juan Pagan,Republican,200,General Election - 11/08/2022,Representative in Congress,00401800007Queens Representative in Congress 7th Congressional District EDLevel_AD34.csv
Nydia M. Velazquez,Democratic,716,General Election - 11/08/2022,Representative in Congress,00401800007Queens Representative in Congress 7th Congressional District EDLevel_AD34.csv
Nydia M. Velazquez,Working Families,81,General Election - 11/08/2022,Representative in Congress,00401800007Queens Representative in Congress 7th Congressional District EDLevel_AD34.csv
Alexandria Ocasio-Cortez,Democratic,9716,General Election - 11/08/2022,Representative in Congress,00401800014Queens Representative in Congress 14th Congressional District EDLevel_AD34.csv
Alexandria Ocasio-Cortez,Working Families,2125,General Election - 11/08/2022,Representative in Congress,00401800014Queens Representative in Congress 14th Congressional District EDLevel_AD34.csv
Desi Cuellar,Conservative,417,General Election - 11/08/2022,Representative in Congress,00401800014Queens Representative in Congress 14th Congressional District EDLevel_AD34.csv
Tina Forte,Republican,5802,General Election - 11/08/2022,Representative in Congress,00401800014Queens Representative in Congress 14th Congressional District EDLevel_AD34.csv
Grace Meng,Democratic,336,General Election 2024 - 11/05/2024,Representative in Congress,00401900006Queens Representative in Congress 6th Congressional District EDLevel_AD34.csv
Joseph J. Chou,TRUTH/TRUTH,7,General Election 2024 - 11/05/2024,Representative in Congress,00401900006Queens Representative in Congress 6th Congressional District EDLevel_AD34.csv
Thomas J. Zmich,Conservative,10,General Election 2024 - 11/05/2024,Representative in Congress,00401900006Queens Representative in Congress 6th Congressional District EDLevel_AD34.csv
Thomas J. Zmich,Republican,281,General Election 2024 - 11/05/2024,Representative in Congress,00401900006Queens Representative in Congress 6th Congressional District EDLevel_AD34.csv
Bill Kregler,Conservative,44,General Election 2024 - 11/05/2024,Representative in Congress,00401900007Queens Representative in Congress 7th Congressional District EDLevel_AD34.csv
Bill Kregler,Republican,580,General Election 2024 - 11/05/2024,Representative in Congress,00401900007Queens Representative in Congress 7th Congressional District EDLevel_AD34.csv
Nydia M. Velazquez,Democratic,1476,General Election 2024 - 11/05/2024,Representative in Congress,00401900007Queens Representative in Congress 7th Congressional District EDLevel_AD34.csv
Nydia M. Velazquez,Working Families,246,General Election 2024 - 11/05/2024,Representative in Congress,00401900007Queens Representative in Congress 7th Congressional District EDLevel_AD34.csv
Stefano Forte,Conservative,68,General Election - 11/08/2022,State Senator,00401900011Queens State Senator 11th Senatorial District EDLevel_AD34.csv
Stefano Forte,Republican,1092,General Election - 11/08/2022,State Senator,00401900011Queens State Senator 11th Senatorial District EDLevel_AD34.csv
Toby Ann Stavisky,Democratic,1152,General Election - 11/08/2022,State Senator,00401900011Queens State Senator 11th Senatorial District EDLevel_AD34.csv
Toby Ann Stavisky,Working Families,183,General Election - 11/08/2022,State Senator,00401900011Queens State Senator 11th Senatorial District EDLevel_AD34.csv
Michael N. Gianaris,Democratic,5277,General Election - 11/08/2022,State Senator,00401900012Queens State Senator 12th Senatorial District EDLevel_AD34.csv
Michael N. Gianaris,Working Families,1630,General Election - 11/08/2022,State Senator,00401900012Queens State Senator 12th Senatorial District EDLevel_AD34.csv
Jessica Ramos,Democratic,6365,General Election - 11/08/2022,State Senator,00401900013Queens State Senator 13th Senatorial District EDLevel_AD34.csv
Jessica Ramos,Working Families,1300,General Election - 11/08/2022,State Senator,00401900013Queens State Senator 13th Senatorial District EDLevel_AD34.csv
Alexandria Ocasio-Cortez,Democratic,18002,General Election 2024 - 11/05/2024,Representative in Congress,00401900014Queens Representative in Congress 14th Congressional District EDLevel_AD34.csv
Alexandria Ocasio-Cortez,Working Families,3047,General Election 2024 - 11/05/2024,Representative in Congress,00401900014Queens Representative in Congress 14th Congressional District EDLevel_AD34.csv
Tina Forte,Conservative,840,General Election 2024 - 11/05/2024,Representative in Congress,00401900014Queens Representative in Congress 14th Congressional District EDLevel_AD34.csv
Tina Forte,Republican,11159,General Election 2024 - 11/05/2024,Representative in Congress,00401900014Queens Representative in Congress 14th Congressional District EDLevel_AD34.csv
Kristen S. Gonzalez,Democratic,383,General Election - 11/08/2022,State Senator,00401900059Queens State Senator 59th Senatorial District EDLevel_AD34.csv
Kristen S. Gonzalez,Working Families,159,General Election - 11/08/2022,State Senator,00401900059Queens State Senator 59th Senatorial District EDLevel_AD34.csv
Toby Ann Stavisky,Democratic,1303,General Election 2024 - 11/05/2024,State Senator,00402000011Queens State Senator 11th Senatorial District EDLevel_AD34.csv
Toby Ann Stavisky,Working Families,209,General Election 2024 - 11/05/2024,State Senator,00402000011Queens State Senator 11th Senatorial District EDLevel_AD34.csv
Yiatin Chu,Conservative,67,General Election 2024 - 11/05/2024,State Senator,00402000011Queens State Senator 11th Senatorial District EDLevel_AD34.csv
Yiatin Chu,Republican,1052,General Election 2024 - 11/05/2024,State Senator,00402000011Queens State Senator 11th Senatorial District EDLevel_AD34.csv
Han-Khon To,Republican,4024,General Election 2024 - 11/05/2024,State Senator,00402000012Queens State Senator 12th Senatorial District EDLevel_AD34.csv
Michael N. Gianaris,Democratic,8847,General Election 2024 - 11/05/2024,State Senator,00402000012Queens State Senator 12th Senatorial District EDLevel_AD34.csv
Michael N. Gianaris,Working Families,2007,General Election 2024 - 11/05/2024,State Senator,00402000012Queens State Senator 12th Senatorial District EDLevel_AD34.csv
Jessica Ramos,Democratic,11011,General Election 2024 - 11/05/2024,State Senator,00402000013Queens State Senator 13th Senatorial District EDLevel_AD34.csv
Jessica Ramos,Working Families,2363,General Election 2024 - 11/05/2024,State Senator,00402000013Queens State Senator 13th Senatorial District EDLevel_AD34.csv
Jessica Gonzalez-Rojas,Democratic,13045,General Election - 11/08/2022,Member of the Assembly,00402000034Queens Member of the Assembly 34th Assembly District EDLevel_AD34.csv
Jessica Gonzalez-Rojas,Working Families,3406,General Election - 11/08/2022,Member of the Assembly,00402000034Queens Member of the Assembly 34th Assembly District EDLevel_AD34.csv
Jessica Gonzalez-Rojas,Democratic,21293,General Election 2024 - 11/05/2024,Member of the Assembly,00402100034Queens Member of the Assembly 34th Assembly District EDLevel_AD34.csv
Jessica Gonzalez-Rojas,Working Families,5342,General Election 2024 - 11/05/2024,Member of the Assembly,00402100034Queens Member of the Assembly 34th Assembly District EDLevel_AD34.csv
